Quentin Tarantino,Django Unchained(2012)
Quentin Tarantino,Pulp Fiction(1994)
Quentin Tarantino,The Hateful Eight(2015)
Christopher Nolan,The Prestige(2006)
Christopher Nolan,Interstellar(2014)
Christopher Nolan,Inception(2010)
