Avatar%7.2
Spectre%6.3
The Dark Knight Rises%7.6
John Carter%6.1
Spider-Man 3%5.9
Tangled%7.4
Harry Potter and the Half-Blood Prince%7.4
Batman v Superman: Dawn of Justice%5.7
Superman Returns%5.4
Quantum of Solace%6.1
Pirates of the Caribbean: Dead Man's Chest%7.0
The Chronicles of Narnia: Prince Caspian%6.3
Men in Black 3%6.2
The Hobbit: The Battle of the Five Armies%7.1
The Amazing Spider-Man%6.5
The Hobbit: The Desolation of Smaug%7.6
The Golden Compass%5.8
King Kong%6.6
Titanic%7.5
Captain America: Civil War%7.1
Battleship%5.5
Skyfall%6.9
Spider-Man 2%6.7
X-Men: The Last Stand%6.3
Monsters University%7.0
Oz: The Great and Powerful%5.7
The Amazing Spider-Man 2%6.5
Green Lantern%5.1
Toy Story 3%7.6
Terminator Salvation%5.9
Furious 7%7.3
World War Z%6.7
X-Men: Days of Future Past%7.5
Star Trek Into Darkness%7.4
Jack the Giant Slayer%5.5
The Great Gatsby%7.3
Prince of Persia: The Sands of Time%6.2
Pacific Rim%6.7
Transformers: Dark of the Moon%6.1
The Good Dinosaur%6.6
Brave%6.7
Star Trek Beyond%6.6
WALL·E%7.8
Rush Hour 3%6.1
2012%5.6
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe%6.7
X-Men: Apocalypse%6.4
The Dark Knight%8.2
Up%7.7
Iron Man%7.4
Hugo%7.0
Wild Wild West%5.1
The Mummy: Tomb of the Dragon Emperor%5.2
Suicide Squad%5.9
Evan Almighty%5.3
Waterworld%5.9
Inside Out%8.0
The Jungle Book%6.7
Iron Man 2%6.6
Snow White and the Huntsman%5.8
Maleficent%7.0
Dawn of the Planet of the Apes%7.3
The Lovers%4.8
47 Ronin%5.9
Captain America: The Winter Soldier%7.6
Tomorrowland%6.2
Big Hero 6%7.8
Wreck-It Ralph%7.1
Independence Day: Resurgence%4.9
How to Train Your Dragon%7.5
Guardians of the Galaxy%7.9
Interstellar%8.1
The Fast and the Furious%6.6
The Curious Case of Benjamin Button%7.3
X-Men: First Class%7.1
The Hunger Games: Mockingjay - Part 2%6.6
Poseidon%5.5
Alice Through the Looking Glass%6.5
Shrek the Third%6.0
Warcraft%6.3
Pearl Harbor%6.6
Transformers%6.6
Alexander%5.6
Harry Potter and the Order of the Phoenix%7.4
Harry Potter and the Goblet of Fire%7.5
Hancock%6.2
I Am Legend%6.9
Ratatouille%7.5
Batman Begins%7.5
Madagascar: Escape 2 Africa%6.2
X-Men Origins: Wolverine%6.2
The Matrix Revolutions%6.4
Frozen%7.3
The Matrix Reloaded%6.7
Thor: The Dark World%6.8
Mad Max: Fury Road%7.2
Angels & Demons%6.5
Thor%6.6
Bolt%6.3
G-Force%5.1
Wrath of the Titans%5.5
Dark Shadows%5.7
Mission: Impossible - Rogue Nation%7.1
The Wolfman%5.5
Bee Movie%5.7
Kung Fu Panda 2%6.7
White House Down%6.4
Mars Needs Moms%5.5
Flushed Away%6.0
Pan%5.9
Madagascar 3: Europe's Most Wanted%6.4
Die Another Day%5.8
Ghostbusters%5.3
Armageddon%6.4
Men in Black II%6.0
Kung Fu Panda 3%6.7
Rise of the Guardians%7.1
Fun with Dick and Jane%5.9
Exodus: Gods and Kings%5.6
Spider-Man%6.8
How to Train Your Dragon 2%7.6
Stealth%4.9
Watchmen%7.0
Lethal Weapon 4%6.3
Hulk%5.3
Sahara%5.7
Final Fantasy: The Spirits Within%5.9
Captain America: The First Avenger%6.6
The World Is Not Enough%6.0
