James Horner%Avatar
Thomas Newman%Spectre
Hans Zimmer%The Dark Knight Rises
Christopher Young%Spider-Man 3
Alan Menken%Tangled
Kevin Kliesch%Tangled
Nicholas Hooper%Harry Potter and the Half-Blood Prince
Hans Zimmer%Batman v Superman: Dawn of Justice
Junkie XL%Batman v Superman: Dawn of Justice
John Ottman%Superman Returns
Hans Zimmer%Pirates of the Caribbean: Dead Man's Chest
Harry Gregson-Williams%The Chronicles of Narnia: Prince Caspian
Danny Elfman%Men in Black 3
Howard Shore%The Hobbit: The Battle of the Five Armies
James Horner%The Amazing Spider-Man
Howard Shore%The Hobbit: The Desolation of Smaug
Alexandre Desplat%The Golden Compass
James Newton Howard%King Kong
David Long%King Kong
Mel Wesson%King Kong
James Horner%Titanic
Henry Jackman%Captain America: Civil War
Steve Jablonsky%Battleship
Thomas Newman%Skyfall
Danny Elfman%Spider-Man 2
John Powell%X-Men: The Last Stand
Randy Newman%Monsters University
Hans Zimmer%The Amazing Spider-Man 2
Johnny Marr%The Amazing Spider-Man 2
Pharrell Williams%The Amazing Spider-Man 2
James Newton Howard%Green Lantern
Danny Elfman%Terminator Salvation
Brian Tyler%Furious 7
Marco Beltrami%World War Z
John Ottman%X-Men: Days of Future Past
Michael Giacchino%Star Trek Into Darkness
John Ottman%Jack the Giant Slayer
Craig Armstrong%The Great Gatsby
Harry Gregson-Williams%Prince of Persia: The Sands of Time
Ramin Djawadi%Pacific Rim
Steve Jablonsky%Transformers: Dark of the Moon
Mychael Danna%The Good Dinosaur
Jeff Danna%The Good Dinosaur
Patrick Doyle%Brave
Thomas Newman%WALL·E
Lalo Schifrin%Rush Hour 3
Harald Kloser%2012
Thomas Wanker%2012
Harry Gregson-Williams%The Chronicles of Narnia: The Lion, the Witch and the Wardrobe
John Ottman%X-Men: Apocalypse
Hans Zimmer%The Dark Knight
James Newton Howard%The Dark Knight
Ramin Djawadi%Iron Man
Howard Shore%Hugo
Elmer Bernstein%Wild Wild West
Steven Price%Suicide Squad
James Newton Howard%Waterworld
Michael Giacchino%Inside Out
James Newton Howard%Snow White and the Huntsman
James Newton Howard%Maleficent
Michael Giacchino%Dawn of the Planet of the Apes
Henry Jackman%Captain America: The Winter Soldier
Michael Giacchino%Tomorrowland
Henry Jackman%Big Hero 6
Henry Jackman%Wreck-It Ralph
Harald Kloser%Independence Day: Resurgence
Thomas Wanker%Independence Day: Resurgence
John Powell%How to Train Your Dragon
Tyler Bates%Guardians of the Galaxy
Hans Zimmer%Interstellar
BT%The Fast and the Furious
James Newton Howard%The Hunger Games: Mockingjay - Part 2
Klaus Badelt%Poseidon
Danny Elfman%Alice Through the Looking Glass
Harry Gregson-Williams%Shrek the Third
Ramin Djawadi%Warcraft
Hans Zimmer%Pearl Harbor
Vangelis%Alexander
Nicholas Hooper%Harry Potter and the Order of the Phoenix
Patrick Doyle%Harry Potter and the Goblet of Fire
John Powell%Hancock
James Newton Howard%I Am Legend
Michael Giacchino%Ratatouille
Hans Zimmer%Batman Begins
James Newton Howard%Batman Begins
Don Davis%The Matrix Revolutions
Christophe Beck%Frozen
Don Davis%The Matrix Reloaded
Brian Tyler%Thor: The Dark World
Hans Zimmer%Angels & Demons
Patrick Doyle%Thor
John Powell%Bolt
Javier Navarrete%Wrath of the Titans
Danny Elfman%Dark Shadows
Joe Kraemer%Mission: Impossible - Rogue Nation
Danny Elfman%The Wolfman
Hans Zimmer%Kung Fu Panda 2
John Powell%Kung Fu Panda 2
Harald Kloser%White House Down
Thomas Wanker%White House Down
Harry Gregson-Williams%Flushed Away
John Powell%Pan
Hans Zimmer%Madagascar 3: Europe's Most Wanted
Trevor Rabin%Armageddon
Danny Elfman%Men in Black II
Danny Elfman%Spider-Man
John Powell%How to Train Your Dragon 2
BT%Stealth
Dredg%Stealth
Eric Clapton%Lethal Weapon 4
Michael Kamen%Lethal Weapon 4
David Sanborn%Lethal Weapon 4
Danny Elfman%Hulk
Clint Mansell%Sahara
Elliot Goldenthal%Final Fantasy: The Spirits Within
Joel Iwataki%Final Fantasy: The Spirits Within
Dirk Brossé%Final Fantasy: The Spirits Within
Alan Silvestri%Captain America: The First Avenger
David Arnold%The World Is Not Enough
Iva Davies%Master and Commander: The Far Side of the World
Richard Tognetti%Master and Commander: The Far Side of the World
Christopher Gordon%Master and Commander: The Far Side of the World
Carter Burwell%The Twilight Saga: Breaking Dawn - Part 2
Craig Armstrong%The Incredible Hulk
John Williams%The BFG
Ryuichi Sakamoto%The Revenant
Carsten Nicolai%The Revenant
John Powell%The Bourne Ultimatum
Hans Zimmer%Kung Fu Panda
John Powell%Kung Fu Panda
Christophe Beck%Ant-Man
James Newton Howard%The Hunger Games: Catching Fire
Lorne Balfe%Home
Trevor Rabin%Bad Boys II
Henry Jackman%Puss in Boots
Clint Mansell%Noah
John Williams%The Adventures of Tintin
John Williams%Harry Potter and the Prisoner of Azkaban
David Hirschfelder%Australia
James Newton Howard%After Earth
James Newton Howard%Dinosaur
Hans Zimmer%Megamind
Lorne Balfe%Megamind
John Williams%Harry Potter and the Philosopher's Stone
Klaus Badelt%Pirates of the Caribbean: The Curse of the Black Pearl
Hans Zimmer%The Da Vinci Code
Hans Zimmer%Sherlock Holmes: A Game of Shadows
Jerry Goldsmith%Total Recall
Jerry Goldsmith%The 13th Warrior
James Newton Howard%The Bourne Legacy
Elliot Goldenthal%Batman & Robin
James Horner%How the Grinch Stole Christmas
Harald Kloser%The Day After Tomorrow
Thomas Wanker%The Day After Tomorrow
Hans Zimmer%Mission: Impossible II
James Horner%The Perfect Storm
John Ottman%Fantastic 4: Rise of the Silver Surfer
John Powell%Jason Bourne
David Buckley%Jason Bourne
Ed Shearmur%Charlie's Angels: Full Throttle
Marc Streitenfeld%Prometheus
Ryan Amon%Elysium
Pedro Bromfman%RoboCop
M83%Oblivion
Joseph Trapanese%Oblivion
Anthony Gonzalez%Oblivion
John Williams%Star Wars: Episode III - Revenge of the Sith
John Williams%Star Wars: Episode II - Attack of the Clones
Randy Newman%Monsters, Inc.
Marco Beltrami%The Wolverine
John Williams%Star Wars: Episode I - The Phantom Menace
Frédéric Talgorn%Asterix at the Olympic Games
James Horner%Windtalkers
Steven Price%Gravity
Steve Jablonsky%Teenage Mutant Ninja Turtles: Out of the Shadows
Alan Silvestri%Night at the Museum
Andrew Lockington%San Andreas
David Arnold%Tomorrow Never Dies
John Williams%The Patriot
David Holmes%Ocean's Twelve
John Powell%Mr. & Mrs. Smith
Joseph Trapanese%Insurgent
Howard Shore%The Aviator
Henry Jackman%Gulliver's Travels
James Newton Howard%The Green Hornet
Alan Menken%Home on the Range
Joseph Trapanese%Allegiant
Danny Elfman%Real Steel
Mark Mancina%Speed 2: Cruise Control
Steve Jablonsky%Ender's Game
Marco Beltrami%Live Free or Die Hard
Howard Shore%The Lord of the Rings: The Fellowship of the Ring
Lisa Gerrard%Ali
Pieter Bourke%Ali
David Newman%The Cat in the Hat
Marco Beltrami%I, Robot
Harry Gregson-Williams%Kingdom of Heaven
Randy Newman%The Princess and the Frog
Harry Gregson-Williams%The Martian
Steve Jablonsky%The Island
Hans Zimmer%Gladiator
Lisa Gerrard%Gladiator
John Williams%Minority Report
Paul Haslinger%Minority Report
John Williams%Harry Potter and the Chamber of Secrets
Danny Elfman%Planet of the Apes
Brad Fiedel%Terminator 2: Judgment Day
Elliot Goldenthal%Public Enemies
Marc Streitenfeld%American Gangster
Harry Gregson-Williams%The Taking of Pelham 1 2 3
Trevor Rabin%National Treasure
James Newton Howard%The Tourist
John Debney%End of Days
James Newton Howard%Blood Diamond
Elliot Goldenthal%Batman Forever
Basil Poledouris%Starship Troopers
Johnny Klimek%Cloud Atlas
Reinhold Heil%Cloud Atlas
David Hirschfelder%Legend of the Guardians: The Owls of Ga'Hoole
Klaus Badelt%Catwoman
Michael Giacchino%Land of the Lost
Brian Tyler%The Expendables 3
Randy Edelman%Son of the Mask
Roque Baños%In the Heart of the Sea
John Powell%Green Zone
Christophe Beck%The Peanuts Movie
Alan Silvestri%The Mummy Returns
Howard Shore%Gangs of New York
Mychael Danna%Surf's Up
David Arnold%The Stepford Wives
Hans Zimmer%Black Hawk Down
Eric Serra%The Fifth Element
John Powell%Ice Age: Continental Drift
Patrick Doyle%Cinderella
Brian Eno%The Lovely Bones
Thomas Newman%Finding Nemo
Howard Shore%The Lord of the Rings: The Two Towers
Elizabeth Fraser%The Lord of the Rings: The Two Towers
Graeme Revell%Lara Croft: Tomb Raider
Patrick Doyle%Rise of the Planet of the Apes
James Horner%The Spiderwick Chronicles
Carter Burwell%The Alamo
Michael Giacchino%The Incredibles
Alan Silvestri%What Lies Beneath
Mark Mothersbaugh%Cloudy with a Chance of Meatballs
Theodore Shapiro%The Secret Life of Walter Mitty
Jerry Goldsmith%Mulan
Theodore Shapiro%Tropic Thunder
Michael Kamen%Die Hard: With a Vengeance
James Newton Howard%Atlantis: The Lost Empire
Mark Mothersbaugh%Alvin and the Chipmunks: The Road Chip
John Ottman%Valkyrie
Rupert Gregson-Williams%You Don't Mess with the Zohan
John Williams%A.I. Artificial Intelligence
Mark Mancina%The Haunted Mansion
Alan Silvestri%Contact
Jerry Goldsmith%Hollow Man
James Newton Howard%The Interpreter
Alan Silvestri%Lara Croft Tomb Raider: The Cradle of Life
Graeme Revell%The Saint
Harry Gregson-Williams%Spy Game
James Horner%Bicentennial Man
Alan Silvestri%Volcano
Thomas Newman%Cinderella Man
Randy Newman%Seabiscuit
Mark Mancina%Twister
Alan Silvestri%Cast Away
John Powell%Happy Feet
John Powell%The Bourne Supremacy
David Holmes%Ocean's Eleven
Alan Menken%Enchanted
Ramin Djawadi%Safe House
Christophe Beck%Tower Heist
