Avatar%237000000
Spectre%245000000
The Dark Knight Rises%250000000
John Carter%260000000
Spider-Man 3%258000000
Tangled%260000000
Harry Potter and the Half-Blood Prince%250000000
Batman v Superman: Dawn of Justice%250000000
Superman Returns%270000000
Quantum of Solace%200000000
Pirates of the Caribbean: Dead Man's Chest%200000000
The Chronicles of Narnia: Prince Caspian%225000000
Men in Black 3%225000000
The Hobbit: The Battle of the Five Armies%250000000
The Amazing Spider-Man%215000000
The Hobbit: The Desolation of Smaug%250000000
The Golden Compass%180000000
King Kong%207000000
Titanic%200000000
Captain America: Civil War%250000000
Battleship%209000000
Skyfall%200000000
Spider-Man 2%200000000
X-Men: The Last Stand%210000000
Monsters University%200000000
Oz: The Great and Powerful%200000000
The Amazing Spider-Man 2%200000000
Green Lantern%200000000
Toy Story 3%200000000
Terminator Salvation%200000000
Furious 7%190000000
World War Z%200000000
X-Men: Days of Future Past%250000000
Star Trek Into Darkness%190000000
Jack the Giant Slayer%195000000
The Great Gatsby%105000000
Prince of Persia: The Sands of Time%150000000
Pacific Rim%180000000
Transformers: Dark of the Moon%195000000
The Good Dinosaur%175000000
Brave%185000000
Star Trek Beyond%185000000
WALL·E%180000000
Rush Hour 3%140000000
2012%200000000
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe%180000000
X-Men: Apocalypse%178000000
The Dark Knight%185000000
Up%175000000
Iron Man%140000000
Hugo%170000000
Wild Wild West%170000000
The Mummy: Tomb of the Dragon Emperor%145000000
Suicide Squad%175000000
Evan Almighty%175000000
Waterworld%175000000
Inside Out%175000000
The Jungle Book%175000000
Iron Man 2%200000000
Snow White and the Huntsman%170000000
Maleficent%180000000
Dawn of the Planet of the Apes%170000000
The Lovers%27000000
47 Ronin%175000000
Captain America: The Winter Soldier%170000000
Tomorrowland%190000000
Big Hero 6%165000000
Wreck-It Ralph%165000000
Independence Day: Resurgence%165000000
How to Train Your Dragon%165000000
Guardians of the Galaxy%170000000
Interstellar%165000000
The Fast and the Furious%38000000
The Curious Case of Benjamin Button%150000000
X-Men: First Class%160000000
The Hunger Games: Mockingjay - Part 2%160000000
Poseidon%160000000
Alice Through the Looking Glass%170000000
Shrek the Third%160000000
Warcraft%160000000
Pearl Harbor%140000000
Transformers%150000000
Alexander%155000000
Harry Potter and the Order of the Phoenix%150000000
Harry Potter and the Goblet of Fire%150000000
Hancock%150000000
I Am Legend%150000000
Ratatouille%150000000
Batman Begins%150000000
Madagascar: Escape 2 Africa%150000000
X-Men Origins: Wolverine%150000000
The Matrix Revolutions%150000000
Frozen%150000000
The Matrix Reloaded%150000000
Thor: The Dark World%170000000
Mad Max: Fury Road%150000000
Angels & Demons%150000000
Thor%150000000
Bolt%150000000
G-Force%150000000
Wrath of the Titans%150000000
Dark Shadows%150000000
Mission: Impossible - Rogue Nation%150000000
The Wolfman%150000000
Bee Movie%150000000
Kung Fu Panda 2%150000000
White House Down%150000000
Mars Needs Moms%150000000
Flushed Away%149000000
Pan%150000000
Madagascar 3: Europe's Most Wanted%145000000
Die Another Day%140000000
Ghostbusters%144000000
Armageddon%140000000
Men in Black II%140000000
Kung Fu Panda 3%145000000
Rise of the Guardians%145000000
Fun with Dick and Jane%100000000
Exodus: Gods and Kings%140000000
Spider-Man%139000000
How to Train Your Dragon 2%145000000
Stealth%135000000
Watchmen%130000000
Lethal Weapon 4%140000000
Hulk%137000000
Sahara%130000000
Final Fantasy: The Spirits Within%137000000
Captain America: The First Avenger%140000000
The World Is Not Enough%135000000
Master and Commander: The Far Side of the World%150000000
The Twilight Saga: Breaking Dawn - Part 2%120000000
The Incredible Hulk%150000000
The BFG%140000000
The Revenant%135000000
Turbo%135000000
Rango%135000000
Penguins of Madagascar%132000000
The Bourne Ultimatum%70000000
Kung Fu Panda%130000000
Ant-Man%130000000
The Hunger Games: Catching Fire%130000000
Home%135000000
Bad Boys II%130000000
Puss in Boots%130000000
Noah%125000000
The Adventures of Tintin%130000000
Harry Potter and the Prisoner of Azkaban%130000000
Australia%130000000
After Earth%130000000
Dinosaur%127500000
Night at the Museum: Secret of the Tomb%127000000
Megamind%130000000
Harry Potter and the Philosopher's Stone%125000000
Pirates of the Caribbean: The Curse of the Black Pearl%140000000
The Da Vinci Code%125000000
X2%110000000
Sherlock Holmes: A Game of Shadows%125000000
Clash of the Titans%125000000
Total Recall%65000000
The 13th Warrior%160000000
The Bourne Legacy%130000000
Batman & Robin%125000000
How the Grinch Stole Christmas%123000000
The Day After Tomorrow%125000000
Mission: Impossible II%125000000
The Perfect Storm%120000000
Fantastic 4: Rise of the Silver Surfer%130000000
Life of Pi%120000000
Jason Bourne%120000000
Charlie's Angels: Full Throttle%120000000
Prometheus%130000000
Elysium%115000000
The Chronicles of Riddick%105000000
RoboCop%120000000
Oblivion%120000000
Star Wars: Episode III - Revenge of the Sith%113000000
Star Wars: Episode II - Attack of the Clones%120000000
Monsters, Inc.%115000000
The Wolverine%120000000
Star Wars: Episode I - The Phantom Menace%115000000
Asterix at the Olympic Games%97250400
Windtalkers%115000000
The Huntsman: Winter's War%115000000
Teenage Mutant Ninja Turtles%125000000
Gravity%105000000
Teenage Mutant Ninja Turtles: Out of the Shadows%135000000
Fantastic Four%120000000
Night at the Museum%110000000
San Andreas%110000000
Tomorrow Never Dies%110000000
The Patriot%110000000
Ocean's Twelve%110000000
Mr. & Mrs. Smith%110000000
Insurgent%110000000
The Aviator%116000000
Gulliver's Travels%112000000
The Green Hornet%120000000
300: Rise of an Empire%110000000
Home on the Range%110000000
Allegiant%110000000
Real Steel%110000000
The Smurfs 2%105000000
Speed 2: Cruise Control%160000000
Ender's Game%110000000
Live Free or Die Hard%110000000
The Lord of the Rings: The Fellowship of the Ring%93000000
Ali%107000000
The Cat in the Hat%0
I, Robot%120000000
Kingdom of Heaven%130000000
Stuart Little%133000000
The Princess and the Frog%105000000
The Martian%108000000
The Island%126000000
Town & Country%90000000
Gladiator%103000000
Minority Report%102000000
Harry Potter and the Chamber of Secrets%100000000
Casino Royale%150000000
Planet of the Apes%100000000
Terminator 2: Judgment Day%100000000
Public Enemies%80000000
American Gangster%100000000
The Taking of Pelham 1 2 3%100000000
Little Fockers%100000000
The Other Guys%100000000
Django Unchained%100000000
The Expendables 2%100000000
National Treasure%100000000
Where the Wild Things Are%100000000
The Tourist%100000000
End of Days%100000000
Blood Diamond%100000000
The Wolf of Wall Street%100000000
Batman Forever%100000000
Starship Troopers%105000000
Cloud Atlas%102000000
Legend of the Guardians: The Owls of Ga'Hoole%80000000
Catwoman%100000000
Land of the Lost%100000000
The Expendables 3%90000000
Son of the Mask%84000000
In the Heart of the Sea%100000000
Green Zone%100000000
The Peanuts Movie%99000000
The Spanish Prisoner%10000000
The Mummy Returns%98000000
Gangs of New York%100000000
The Flowers of War%94000000
Surf's Up%85000000
The Stepford Wives%90000000
Black Hawk Down%92000000
The Campaign%0
The Fifth Element%90000000
Ice Age: Continental Drift%95000000
Cinderella%95000000
The Lovely Bones%65000000
Finding Nemo%94000000
The Lord of the Rings: The Two Towers%79000000
Seventh Son%95000000
Lara Croft: Tomb Raider%115000000
Transcendence%100000000
Rise of the Planet of the Apes%93000000
The Spiderwick Chronicles%90000000
The Alamo%145000000
The Incredibles%92000000
Cutthroat Island%98000000
Toy Story 2%90000000
What Lies Beneath%100000000
Cloudy with a Chance of Meatballs%100000000
The Secret Life of Walter Mitty%90000000
The Departed%90000000
Mulan%90000000
Tropic Thunder%92000000
The Girl with the Dragon Tattoo%90000000
Die Hard: With a Vengeance%90000000
Sherlock Holmes%90000000
Ben-Hur%100000000
Atlantis: The Lost Empire%120000000
Alvin and the Chipmunks: The Road Chip%0
Valkyrie%75000000
You Don't Mess with the Zohan%90000000
Pixels%88000000
A.I. Artificial Intelligence%100000000
The Haunted Mansion%90000000
Contact%90000000
Hollow Man%95000000
The Interpreter%80000000
Lara Croft Tomb Raider: The Cradle of Life%95000000
The Saint%68000000
Spy Game%92000000
Bicentennial Man%100000000
Volcano%90000000
K-19: The Widowmaker%100000000
Cinderella Man%88000000
The Nutcracker: The Untold Story%90000000
Seabiscuit%87000000
Twister%92000000
Cast Away%90000000
Happy Feet%100000000
The Bourne Supremacy%75000000
Ocean's Eleven%85000000
The Three Musketeers%75000000
Enchanted%85000000
Safe House%85000000
102 Dalmatians%85000000
Tower Heist%75000000
The Holiday%85000000
Enemy of the State%90000000
It's Complicated%85000000
Ocean's Thirteen%85000000
Open Season%85000000
Divergent%85000000
Enemy at the Gates%68000000
The Rundown%85000000
Last Action Hero%85000000
Memoirs of a Geisha%85000000
Arthur Christmas%0
Meet Joe Black%90000000
Collateral Damage%85000000
All That Jazz%0
Mirror Mirror%85000000
Scott Pilgrim vs. the World%60000000
The Core%60000000
Nutty Professor II: The Klumps%84000000
Scooby-Doo%84000000
Dredd%50000000
Click%82500000
Creepshow%8000000
Cats & Dogs 2 : The Revenge of Kitty Galore%85000000
Jumper%85000000
Hellboy II: The Golden Army%85000000
The 6th Day%82000000
Bruce Almighty%80000000
The Expendables%80000000
Mission: Impossible%80000000
The Hunger Games%75000000
The Hangover Part II%80000000
Batman Returns%80000000
Lilo & Stitch%80000000
Deep Impact%75000000
RED 2%84000000
The Longest Yard%82000000
Alvin and the Chipmunks: Chipwrecked%75000000
Grown Ups 2%80000000
Get Smart%80000000
Something's Gotta Give%80000000
Four Christmases%80000000
Robots%75000000
Face/Off%80000000
Bedtime Stories%80000000
Road to Perdition%80000000
Just Go with It%80000000
Con Air%75000000
Eagle Eye%80000000
The Book of Eli%80000000
Flubber%80000000
The Haunting%80000000
Space Jam%80000000
The Pink Panther%0
The Day the Earth Stood Still%80000000
Conspiracy Theory%75000000
Fury%68000000
Yogi Bear%80000000
Spirit: Stallion of the Cimarron%80000000
Zookeeper%80000000
Lost in Space%80000000
Déjà Vu%0
Fantasia 2000%80000000
The Time Machine%80000000
Mighty Joe Young%90000000
Swordfish%102000000
Little Nicky%85000000
The Brothers Grimm%88000000
Mars Attacks!%70000000
Evolution%0
The Edge%0
Surrogates%80000000
Nine%80000000
The Postman%80000000
Babe: Pig in the City%90000000
The Last Witch Hunter%90000000
Red Planet%80000000
Arthur and the Invisibles%86000000
Oceans%0
A Sound of Thunder%80000000
Pompeii%130000000
Top Cat Begins%8000000
A Beautiful Mind%60000000
The Lion King%45000000
Journey 2: The Mysterious Island%79000000
Cloudy with a Chance of Meatballs 2%78000000
Red Dragon%78000000
Hidalgo%100000000
Jack and Jill%79000000
2 Fast 2 Furious%76000000
The Adventures of Rocky & Bullwinkle%76000000
The Secret Life of Pets%75000000
The League of Extraordinary Gentlemen%78000000
Despicable Me 2%76000000
Independence Day%75000000
The Lost World: Jurassic Park%73000000
Wanted%75000000
The Rock%75000000
Ice Age: The Meltdown%80000000
50 First Dates%75000000
Exorcist: The Beginning%80000000
Inspector Gadget%75000000
Now You See Me%75000000
Grown Ups%80000000
The Terminal%60000000
Charlie Wilson's War%75000000
Shark Tale%75000000
Dreamgirls%70000000
Be Cool%53000000
Munich%70000000
The Man from U.N.C.L.E.%75000000
Spanglish%80000000
Monster House%75000000
Bandits%75000000
First Knight%55000000
Immortals%75000000
Hostage%52000000
Titan A.E.%75000000
Hollywood Homicide%75000000
Monkeybone%75000000
Flight of the Phoenix%45000000
Unbreakable%75000000
Minions%74000000
Sucker Punch%82000000
Sphere%75000000
